0|1543449657796|73|paid|||954|Tampa-St. Petersburg-Clearwater, FL|Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2
1|1543449690796|24|paid|||984|Lake Havasu City-Kingman, AZ|Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36
2|1543449841796|24|paid|||984|Lake Havasu City-Kingman, AZ|Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36
3|1543449895796|73|paid|||954|Tampa-St. Petersburg-Clearwater, FL|Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2
4|1543450033796|24|paid|||984|Lake Havasu City-Kingman, AZ|Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36
5|1543450256796|24|paid|||984|Lake Havasu City-Kingman, AZ|Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36
6|1543450264796|73|paid|||954|Tampa-St. Petersburg-Clearwater, FL|Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2
7|1543450450796|73|paid|||954|Tampa-St. Petersburg-Clearwater, FL|Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2
8|1543450562796|24|paid|||984|Lake Havasu City-Kingman, AZ|Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36
9|1543450691796|24|paid|||984|Lake Havasu City-Kingman, AZ|Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36
